model,year,t,regime,close_t,close_t+15m,ret_15m,close_t+30m,ret_30m,close_t+1h,ret_1h,close_t+2h,ret_2h,close_t+4h,ret_4h
15m_hmm4,2021,2021-07-02 20:00:00+00:00,Downtrend / Mid-Vol,33200.0,33180.68,-0.00058209709649029,33200.36,1.0843314705046727e-05,33206.93,0.0002087131576525702,33459.0,0.007770932758066623,33665.01,0.013909143119165374
15m_hmm4,2022,2022-07-02 12:00:00+00:00,Ranging / Low-Vol,19254.0,19224.13,-0.0015525705641138909,19394.86,0.007289251154856985,19247.83,-0.0003205042489053076,19272.39,0.0009546703647403591,19213.03,-0.0021301366646564626
15m_hmm4,2023,2023-07-02 16:00:00+00:00,Ranging / Low-Vol,30552.01,30557.98,0.0001953854032374475,30594.45,0.0013881427253498143,30574.38,0.0007319261287527139,30475.64,-0.0025028012668101914,30554.43,7.920605426423201e-05
15m_hmm4,2024,2024-07-02 00:00:00+00:00,Ranging / Low-Vol,62858.02,62988.0,0.0020656997530788088,62871.23,0.00021013407856343877,62927.99,0.0011125244725845632,63089.12,0.0036697976525692324,63209.38,0.005574175556426097
15m_hmm4,2025,2025-07-02 12:00:00+00:00,Ranging / Low-Vol,107417.82,107327.07,-0.0008451889626079868,107225.25,-0.0017943281529354815,107657.91,0.0022326098786535874,107994.81,0.0053570803149824145,109420.02,0.0184677813186279
15m_hmm4,2026,2026-04-10 11:45:00+00:00,Uptrend / Mid-Vol,72127.59,72094.8,-0.0004547144249236526,72174.77,0.0006539047827236329,72258.68,0.0018158241226031888,72321.4,0.0026834402414268417,72460.51,0.004605089745954706
30m_hmm6,2018,2018-08-01 10:00:00+00:00,Ranging / Low-Vol,7546.16,,,7569.9,0.003141032718632281,7529.07,-0.0022672963956261484,7575.77,0.0039161717905798876,7596.17,0.006605348295870221
30m_hmm6,2019,2019-07-02 14:30:00+00:00,Ranging / High-Vol,10542.99,,,10478.0,-0.006183363111701966,10632.17,0.008423126651147967,10510.69,-0.003068349603624308,10725.0,0.017116280716350702
30m_hmm6,2020,2020-07-02 15:30:00+00:00,Downtrend / High-Vol,9048.92,,,9041.29,-0.0008435502354525939,9044.36,-0.0005040545546795474,9066.34,0.0019232409989705613,9055.15,0.0006882430576017415
30m_hmm6,2021,2021-07-03 01:30:00+00:00,Ranging / Low-Vol,33674.52,,,33638.68,-0.0010648729636012072,33526.09,-0.0044175266081226015,33524.47,-0.0044658483522008905,33707.99,0.0009934329472931396
30m_hmm6,2022,2022-07-02 12:00:00+00:00,Ranging / Low-Vol,19224.13,,,19344.57,0.006245499147887732,19250.19,0.0013546700232929638,19310.82,0.004499299791166324,19307.49,0.004326842736041372
30m_hmm6,2023,2023-07-02 19:00:00+00:00,Ranging / Mid-Vol,30555.16,,,30557.74,8.443389207632158e-05,30559.24,0.0001335200871173397,30600.76,0.0014912704592055408,30602.0,0.0015317915076083113
30m_hmm6,2024,2024-07-02 00:00:00+00:00,Ranging / Low-Vol,62988.0,,,62926.65,-0.0009744696880749193,62889.81,-0.0015600846553510345,63030.06,0.0006675233940561056,63148.02,0.0025372623275528063
30m_hmm6,2025,2025-07-02 12:00:00+00:00,Ranging / Low-Vol,107327.07,,,107379.92,0.000492298840083178,107539.66,0.001978808625882451,107850.6,0.0048660349656584395,109190.0,0.01720858288960631
30m_hmm6,2026,2026-04-10 12:00:00+00:00,Ranging / Low-Vol,72174.77,,,72258.68,0.0011619193398795383,72296.51,0.0016853180620370154,72969.98,0.010957584847324873,72768.87,0.008197715016424242
