event_id,start_timestamp,end_timestamp,n_bars,peak_max_abs_z,state_at_event,state_before_15m,state_before_30m,state_before_1h,state_after_15m,return_after_15m,state_after_30m,return_after_30m,state_after_1h,return_after_1h,state_after_2h,return_after_2h,state_after_4h,return_after_4h,state_3_started_at_event,state_3_duration_after_event_bars,volatility_before_1h,volatility_after_1h
2347,2018-02-02 12:35:00+00:00,2018-02-02 19:40:00+00:00,86,23.256021907204246,3,3,3,3,3,-0.00756352268111371,3,0.002892307219983792,3,-0.009223573876230517,3,-0.01050702559232164,3,0.0027683113446776986,False,383,0.004460295622484599,0.004214803658511404
2440,2018-02-05 19:20:00+00:00,2018-02-07 00:40:00+00:00,353,24.2193093638189,3,3,3,3,3,0.0017333534102217385,3,0.02029088090089104,3,0.006681930031662731,3,-0.028019074309858283,3,-0.011852643885950087,False,638,0.0055821783001611626,0.007092222208844285
4075,2018-10-15 05:40:00+00:00,2018-10-15 09:20:00+00:00,45,28.355584224009625,3,3,0,1,3,0.001927735552555987,3,0.007280849974968362,3,0.009400381491788679,3,0.03060939527827955,0,0.023694121063757123,False,84,0.0018605821421426,0.0036120804983466866
5112,2019-06-26 20:30:00+00:00,2019-06-27 03:25:00+00:00,84,41.30293514186022,3,3,3,3,3,0.008099662657553353,3,0.014762523158173835,3,0.020142401241729502,3,0.00574574675100159,3,-0.01908367505990327,False,546,0.004273396560419743,0.0052065529376199215
5846,2019-09-24 18:45:00+00:00,2019-09-24 22:40:00+00:00,48,31.246133520278853,3,2,2,2,3,-0.003372015493045666,3,-0.0006817888929830929,3,-0.018526536481552114,3,-0.0059664167229520615,3,-0.010640103575406457,False,83,0.0018497178486074411,0.004296407203861793
5988,2019-10-26 00:30:00+00:00,2019-10-26 04:30:00+00:00,49,27.579630159677826,3,0,0,2,3,-0.001453532516313416,3,0.0008528102171823093,3,0.0062316031310540865,2,-0.002114359470413163,3,-0.01903941115913632,False,72,0.003132921825708647,0.003253760700787483
6188,2019-12-04 13:20:00+00:00,2019-12-04 17:15:00+00:00,48,24.759898379384836,3,1,1,0,1,-0.0009057323304038079,1,-0.0017386059799360254,1,-0.0019114271111657644,1,0.0002727630107486334,3,-0.03324236346741394,False,44,0.0017472954420623141,0.0005768839152248601
6581,2020-03-12 10:30:00+00:00,2020-03-12 15:40:00+00:00,63,48.80174889747877,3,3,2,2,3,-0.0029082947550715943,3,-0.017816337880200095,3,-0.018346157637981975,3,-0.011029727954975144,3,-0.01612940836921517,False,766,0.0022437841133290232,0.0045839181222110245
6588,2020-03-12 20:15:00+00:00,2020-03-14 01:40:00+00:00,354,71.97350011790148,3,3,3,3,3,0.003945513607392925,3,-0.0007455284667319262,3,-0.008595314306313995,3,0.01397919736815112,3,0.0021400750791880085,False,649,0.0029275270969679195,0.004586773018277537
6996,2020-05-10 00:10:00+00:00,2020-05-10 04:10:00+00:00,49,33.77047560933333,3,2,2,2,3,-0.008154679486761296,3,-0.012873319427420427,3,0.00310995988843743,2,-0.0004969557200684704,3,0.031263856644471844,False,66,0.0020941688815324174,0.003090333141073591
7131,2020-06-02 14:45:00+00:00,2020-06-02 18:40:00+00:00,48,26.107480129220324,3,1,0,0,2,-0.0008300944367523044,2,-0.002135471227475705,1,-0.00010608758958419173,1,-0.0026892720417972527,2,0.0006079483924619211,True,48,0.0009495005565949627,0.0009692149790046632
7363,2020-08-02 04:35:00+00:00,2020-08-02 08:30:00+00:00,48,23.173669702953518,3,3,0,0,2,-0.001937611997837152,2,-0.0012963416228348734,0,-0.0003440524727231775,2,-0.0055626664511070345,3,-0.023503779228176924,False,48,0.0034468966591171854,0.0018377957830235862
8414,2021-04-18 03:15:00+00:00,2021-04-18 06:05:00+00:00,35,29.09141017739575,3,3,3,3,3,0.006205402100457391,3,-0.004825311208726646,3,0.004299350014749237,2,-0.00042260343149003177,3,-0.014345376252579811,False,55,0.0033900220711387493,0.0034732899105528775
8489,2021-05-12 22:05:00+00:00,2021-05-13 02:10:00+00:00,50,23.22742221141701,3,2,0,0,3,-0.005773549947043932,3,-0.005269141722076043,3,-0.017550750195560738,3,0.004633969734801013,0,0.006838762366166762,True,90,0.0016841830361348207,0.0032507909457135074
8581,2021-05-19 11:25:00+00:00,2021-05-19 20:15:00+00:00,107,56.26258485949948,3,3,3,3,3,-0.020216683485481113,3,-0.02696077615226855,3,-0.053360102814943744,3,-0.01027113384049727,3,-0.04683272643060299,False,472,0.005886918792096066,0.007729909931878428
8611,2021-05-21 14:10:00+00:00,2021-05-21 18:25:00+00:00,52,23.030816390345827,3,3,3,3,3,0.01699134794153956,3,0.017564445406268447,3,-0.013074568090837957,3,-0.01142020250581055,3,0.0030384333903459293,False,351,0.0026476578310659638,0.007571611057188399
9066,2021-07-26 00:50:00+00:00,2021-07-26 04:55:00+00:00,50,23.29256784984638,3,3,3,3,2,0.0013635759235466338,0,0.0040815191117200555,0,0.00777367754320224,3,0.009155183106283715,0,-0.0019839234218501645,False,50,0.003784149074022625,0.0010928539967522241
9243,2021-09-07 14:45:00+00:00,2021-09-07 18:35:00+00:00,47,46.70736227733104,3,3,2,2,3,-0.004199566953131395,3,-0.006944584721042091,3,-0.007138381784073999,3,-0.01382177675081131,0,-0.007243949678539252,False,93,0.002592601522015782,0.0024765299130761584
12131,2023-08-17 21:40:00+00:00,2023-08-18 01:40:00+00:00,49,38.58682187900983,3,2,2,2,2,-0.0013705452859422707,0,0.0008255506311769523,2,-0.004947304031556854,2,-0.009003641788702055,0,-0.007405593004744304,True,41,0.0026708791147933416,0.0011460324636312126
15997,2025-10-10 21:10:00+00:00,2025-10-10 23:25:00+00:00,28,32.432126513775486,3,3,0,0,3,0.0074042394209339335,3,-0.008804438142616888,3,-0.011672403460613268,3,-0.022316883924391462,2,-0.016765495570965072,False,56,0.005170384300460619,0.003923389068311635
