seed,ll,error,runtime_s,converged,n_iter_run,warnings,model,fold_id
43,-358569.4467675155,,8.367128610610962,True,56,[],30m_hmm4,14
46,-437704.63101094513,,10.039931535720825,True,80,[],30m_hmm4,14
43,-378151.6997494511,,6.177451133728027,True,25,[],30m_hmm4,15
46,-473139.0618037797,,7.505338430404663,True,39,[],30m_hmm4,15
45,-378145.52924724517,,7.623111248016357,True,39,[],30m_hmm4,15
44,-375226.9600362217,,9.165245056152344,True,55,[],30m_hmm4,15
42,-463549.60049487633,,10.803638935089111,True,80,[],30m_hmm4,15
42,-396952.27801079897,,5.224039793014526,True,29,[],30m_hmm4,16
46,-396952.124607638,,5.814942359924316,True,31,[],30m_hmm4,16
45,-396959.3317638276,,5.909579277038574,True,31,[],30m_hmm4,16
43,-396952.1856515445,,6.027976036071777,True,34,[],30m_hmm4,16
44,-394165.66990407475,,7.659742116928101,True,54,[],30m_hmm4,16
44,-419657.48431628506,,7.40823221206665,True,40,[],30m_hmm4,17
42,-515445.3244207498,,8.227850437164307,True,47,[],30m_hmm4,17
43,-419656.2115818076,,8.27169132232666,True,44,[],30m_hmm4,17
46,-515445.32557721157,,8.558810949325562,True,49,[],30m_hmm4,17
45,-419656.171409655,,8.931958436965942,True,53,[],30m_hmm4,17
43,-436610.22824830696,,5.879025459289551,True,28,[],30m_hmm4,18
44,-436607.6967682762,,7.695244073867798,True,41,[],30m_hmm4,18
45,-436607.99368959636,,8.322854280471802,True,45,[],30m_hmm4,18
42,-434890.76601552125,,8.828088760375977,True,51,[],30m_hmm4,18
46,-539820.7144001096,,9.561164617538452,True,62,[],30m_hmm4,18
42,-450599.6577711575,,5.856583595275879,True,26,[],30m_hmm4,19
45,-450613.835230508,,6.487447261810303,True,25,[],30m_hmm4,19
44,-450597.69901687704,,7.137343406677246,True,31,[],30m_hmm4,19
46,-450599.13331844757,,7.536616802215576,True,32,[],30m_hmm4,19
43,-559882.0081027645,,11.970942497253418,True,74,[],30m_hmm4,19
44,-465447.7922569996,,9.267203330993652,True,34,[],30m_hmm4,20
42,-465447.03778819356,,11.933042526245117,True,40,[],30m_hmm4,20
45,-466286.94450024184,,14.269477367401123,True,57,[],30m_hmm4,20
46,-580424.7952021627,,17.92531728744507,True,83,[],30m_hmm4,20
43,-580425.3960832715,,20.994972944259644,True,100,[],30m_hmm4,20
43,-479842.8165667154,,8.127369165420532,True,26,[],30m_hmm4,21
45,-479802.30988168233,,8.897210836410522,True,36,[],30m_hmm4,21
44,-481913.2104687691,,12.792620658874512,True,59,[],30m_hmm4,21
42,-481913.2118749011,,12.999781608581543,True,58,[],30m_hmm4,21
46,-600490.0868038142,,14.675789594650269,True,85,[],30m_hmm4,21
42,-494525.3885098394,,7.984254837036133,True,28,[],30m_hmm4,22
43,-494523.77557470603,,9.582153797149658,True,29,[],30m_hmm4,22
44,-494523.65149766085,,9.955327272415161,True,31,[],30m_hmm4,22
45,-497684.00417016534,,15.248673915863037,True,67,[],30m_hmm4,22
46,-620807.5888323695,,17.355314016342163,True,100,[],30m_hmm4,22
42,-511164.62974496576,,7.56962251663208,True,24,[],30m_hmm4,23
45,-511162.28950498224,,8.460951328277588,True,25,[],30m_hmm4,23
43,-644247.1985268705,,12.784056663513184,True,63,[],30m_hmm4,23
46,-644247.1988824569,,13.339731454849243,True,60,[],30m_hmm4,23
44,-515805.5096956612,,15.198263883590698,True,68,[],30m_hmm4,23
44,-525684.8847722923,,7.683906078338623,True,28,[],30m_hmm4,24
42,-525681.8190519762,,8.328917980194092,True,31,[],30m_hmm4,24
45,-526823.7885655445,,16.17681908607483,True,71,[],30m_hmm4,24
43,-665099.3803231273,,18.52768301963806,True,97,[],30m_hmm4,24
46,-665099.5592190467,,18.937040328979492,True,100,[],30m_hmm4,24
45,-533436.646743984,,5.274496555328369,True,17,[],30m_hmm4,25
44,-533420.468286393,,5.796926259994507,True,18,[],30m_hmm4,25
43,-533477.2311557548,,8.620341062545776,True,36,[],30m_hmm4,25
42,-676537.1515347344,,9.25740385055542,True,46,[],30m_hmm4,25
46,-676537.1546871695,,11.070639610290527,True,59,[],30m_hmm4,25
44,-550578.4120590745,,6.4808571338653564,True,18,[],30m_hmm4,26
45,-550550.2745718341,,7.092611074447632,True,18,[],30m_hmm4,26
43,-700183.5536611616,,12.361177921295166,True,58,[],30m_hmm4,26
46,-700183.5547800191,,13.213732242584229,True,64,[],30m_hmm4,26
42,-550310.0617470727,,15.727482795715332,True,85,[],30m_hmm4,26
43,-569195.8695036378,,5.673286437988281,True,18,[],30m_hmm4,27
46,-725410.783604533,,10.758741617202759,True,45,[],30m_hmm4,27
45,-725410.7826035375,,11.752861976623535,True,47,[],30m_hmm4,27
42,-725410.777462453,,12.002138614654541,True,43,[],30m_hmm4,27
44,-575804.0644394835,,14.554293870925903,True,67,[],30m_hmm4,27
44,-581824.22582153,,6.829817295074463,True,19,[],30m_hmm4,28
43,-581846.924375453,,12.723361015319824,True,50,[],30m_hmm4,28
46,-743399.2328043361,,15.330165147781372,True,68,[],30m_hmm4,28
42,-589222.0252448374,,16.31745195388794,True,70,[],30m_hmm4,28
45,-581550.712545757,,16.727867603302002,True,73,[],30m_hmm4,28
45,-594887.585091115,,6.993494033813477,True,19,[],30m_hmm4,29
42,-594871.6913965847,,7.3065431118011475,True,17,[],30m_hmm4,29
43,-594909.5779482662,,11.995315074920654,True,41,[],30m_hmm4,29
46,-760625.3796595641,,13.503984689712524,True,60,[],30m_hmm4,29
44,-594168.9196345052,,15.01706337928772,True,64,[],30m_hmm4,29
42,-609543.8805843318,,6.272531032562256,True,18,[],30m_hmm4,30
45,-609542.591982243,,7.322585105895996,True,19,[],30m_hmm4,30
46,-782160.092830419,,13.423817873001099,True,61,[],30m_hmm4,30
43,-617384.1412449001,,15.184351444244385,True,66,[],30m_hmm4,30
44,-617384.142758741,,15.419318437576294,True,65,[],30m_hmm4,30
45,-624860.6432929062,,7.840805530548096,True,18,[],30m_hmm4,31
43,-803359.6140752254,,14.972737312316895,True,54,[],30m_hmm4,31
44,-624903.1850223198,,15.006794214248657,True,43,[],30m_hmm4,31
42,-633765.2611425678,,18.40958333015442,True,67,[],30m_hmm4,31
46,-803359.6163783204,,19.97507953643799,True,75,[],30m_hmm4,31
42,-639240.6778907672,,8.16507625579834,True,19,[],30m_hmm4,32
45,-639227.7296748741,,8.641807317733765,True,21,[],30m_hmm4,32
44,-639275.8128855472,,13.554216384887695,True,46,[],30m_hmm4,32
43,-639275.8229884712,,14.352319955825806,True,49,[],30m_hmm4,32
46,-638214.0331925486,,17.08456802368164,True,63,[],30m_hmm4,32
45,-659736.7863861426,,8.21279239654541,True,21,[],30m_hmm4,33
43,-659757.9205848819,,8.527348756790161,True,20,[],30m_hmm4,33
42,-659736.444657924,,8.576273202896118,True,22,[],30m_hmm4,33
44,-659774.3912799414,,11.969637632369995,True,39,[],30m_hmm4,33
46,-850131.8233112833,,14.590960025787354,True,52,[],30m_hmm4,33
44,-680779.3438051648,,9.552189111709595,True,19,[],30m_hmm4,34
42,-680804.8667470751,,10.080256223678589,True,19,[],30m_hmm4,34
45,-680814.5492498673,,15.487887859344482,True,42,[],30m_hmm4,34
43,-680814.5517648649,,16.757347345352173,True,49,[],30m_hmm4,34
46,-877267.6053426315,,18.50899314880371,True,65,[],30m_hmm4,34
46,-705284.4518504501,,6.781664848327637,True,17,[],30m_hmm4,35
44,-705279.5408053785,,8.023361206054688,True,17,[],30m_hmm4,35
42,-705287.4119856268,,8.519438982009888,True,19,[],30m_hmm4,35
45,-705323.043330028,,9.530908346176147,True,28,[],30m_hmm4,35
43,-705323.958622637,,14.384002685546875,True,50,[],30m_hmm4,35
42,-727936.7569525059,,7.0188634395599365,True,19,[],30m_hmm4,36
44,-727950.6788902652,,7.479679107666016,True,18,[],30m_hmm4,36
45,-727986.8823381881,,9.469720363616943,True,25,[],30m_hmm4,36
46,-931271.0949996255,,15.691894292831421,True,65,[],30m_hmm4,36
43,-931271.0967221813,,17.151383876800537,True,71,[],30m_hmm4,36
44,-752496.2317266518,,10.110793828964233,True,20,[],30m_hmm4,37
43,-752537.6513716605,,19.024378776550293,True,51,[],30m_hmm4,37
45,-752537.6521912148,,23.247995138168335,True,51,[],30m_hmm4,37
42,-758241.1028667288,,23.448426723480225,True,62,[],30m_hmm4,37
46,-961292.0451113882,,26.73255491256714,True,76,[],30m_hmm4,37
42,-771495.649069845,,8.819319725036621,True,19,[],30m_hmm4,38
44,-771559.5528167667,,10.67016887664795,True,25,[],30m_hmm4,38
45,-771562.9198157574,,17.24855899810791,True,51,[],30m_hmm4,38
46,-986218.9843116098,,17.546891689300537,True,56,[],30m_hmm4,38
43,-777487.8668066165,,19.345271348953247,True,62,[],30m_hmm4,38
44,-794911.1068965696,,9.255273818969727,True,18,[],30m_hmm4,39
45,-794878.9337813942,,9.27694320678711,True,18,[],30m_hmm4,39
42,-794962.887062839,,15.768025875091553,True,37,[],30m_hmm4,39
46,-1013274.6788359906,,19.026196241378784,True,50,[],30m_hmm4,39
43,-794965.9174259829,,26.78775930404663,True,91,[],30m_hmm4,39
42,-819787.0119026457,,11.373823404312134,True,18,[],30m_hmm4,40
44,-819810.7983029014,,11.494869709014893,True,22,[],30m_hmm4,40
43,-819804.7982493021,,12.584195613861084,True,21,[],30m_hmm4,40
45,-1043031.2976121834,,17.376755237579346,True,51,[],30m_hmm4,40
46,-1043031.302050772,,17.687893867492676,True,50,[],30m_hmm4,40
44,-839170.2001389886,,10.838033199310303,True,19,[],30m_hmm4,41
45,-839207.0545266697,,18.96911072731018,True,49,[],30m_hmm4,41
46,-1069935.7839152035,,19.549593448638916,True,54,[],30m_hmm4,41
42,-1069935.7885442707,,20.99565052986145,True,47,[],30m_hmm4,41
43,-839207.055050277,,24.09301733970642,True,59,[],30m_hmm4,41
46,-859407.0858679068,,7.707288026809692,True,18,[],30m_hmm4,42
42,-1097316.9535731336,,17.328397512435913,True,51,[],30m_hmm4,42
43,-859431.4731369771,,19.601365566253662,True,56,[],30m_hmm4,42
44,-859431.4779767316,,20.30089783668518,True,54,[],30m_hmm4,42
45,-859431.4772495647,,21.49043560028076,True,62,[],30m_hmm4,42
44,-877675.4279721306,,10.62047553062439,True,19,[],30m_hmm4,43
46,-1122643.3646293788,,16.53503394126892,True,49,[],30m_hmm4,43
43,-1122643.3696944064,,18.250160694122314,True,52,[],30m_hmm4,43
45,-877705.8785007736,,19.17507314682007,True,56,[],30m_hmm4,43
42,-884583.3671559565,,22.548776149749756,True,71,[],30m_hmm4,43
46,-896959.8959644717,,9.859628200531006,True,18,[],30m_hmm4,44
