fold_id,model,timeframe,n_states,train_start,train_end,test_start,test_end,test_year,n_train,n_test,n_transitions,n_segments,transitions_per_1k_bars,transitions_per_day,transitions_per_hour,median_duration_minutes,mean_duration_minutes,min_duration_minutes,max_duration_minutes,pct_gt30m,pct_gt1h,pct_gt2h,pct_gt4h,pct_gt8h,pct_1bar,n_distinct_states_observed,n_distinct_labels_observed,n_distinct_labels_trained,max_state_occupancy_pct,state_occupancy,regime_labels_trained,train_ll,train_ll_per_obs,test_ll,test_ll_per_obs,best_seed,restart_spread,restart_spread_normalized,n_restarts_converged,n_restarts_failed,mean_stay_prob,median_stay_prob,trend_score_range,vol_score_range,fit_time_s,decode_time_s,failure_flags,status
23,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-01-31 20:00:00+00:00,2020-02-01 00:00:00+00:00,2020-03-01 00:00:00+00:00,2020,41794,1333,713,715,534.8837209302325,24.6038820992092,1.0251617541337168,30.0,55.93006993006993,30.0,480.0,46.99300699300699,19.3006993006993,3.4965034965034967,0.8391608391608392,0.0,53.00699300699301,5,3,4,45.23630907726932,"{0: 3.5258814703675916, 1: 45.23630907726932, 2: 38.18454613653413, 3: 6.301575393848462, 5: 6.751687921980495}","{0: 'Uptrend / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Ranging / Low-Vol', 3: 'Ranging / Low-Vol', 4: 'Ranging / High-Vol', 5: 'Downtrend / High-Vol'}",-462064.2859709424,-11.055756471525635,-8664.85149233638,-6.500263685173579,46,117509.41475418903,0.25431399552394485,5,0,0.673022737611891,0.7926671811268438,1.6201443504353932,3.2725169803550465,23.194905519485474,0.013929128646850586,['missing_states(observed=5/6)'],ok
24,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-02-29 20:00:00+00:00,2020-03-01 00:00:00+00:00,2020-04-01 00:00:00+00:00,2020,43127,1461,540,541,369.60985626283366,17.431069266980497,0.7262945527908541,60.0,81.01663585951941,30.0,720.0,54.34380776340111,29.75970425138632,14.232902033271719,5.175600739371535,0.36968576709796674,45.65619223659889,6,4,4,21.6290212183436,"{0: 14.30527036276523, 1: 21.6290212183436, 2: 17.864476386036962, 3: 17.864476386036962, 4: 9.99315537303217, 5: 18.34360027378508}","{0: 'Uptrend / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Downtrend / High-Vol', 3: 'Uptrend / Mid-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-476496.4271065032,-11.048680110058738,-31123.859170453998,-21.303120582104036,46,121853.4988554428,0.25572804311543545,5,0,0.6534494822897075,0.7751964167639966,2.980963455480773,2.427597441553064,26.148281574249268,0.009374856948852539,[],ok
25,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-03-31 20:00:00+00:00,2020-04-01 00:00:00+00:00,2020-05-01 00:00:00+00:00,2020,44588,1412,732,734,518.4135977337111,24.41695621959694,1.0173731758165392,30.0,57.71117166212534,30.0,450.0,47.275204359673026,18.66485013623978,4.904632152588556,1.226158038147139,0.0,52.724795640326974,6,4,4,41.005665722379604,"{0: 8.640226628895183, 1: 41.005665722379604, 2: 11.260623229461757, 3: 34.13597733711048, 4: 3.1161473087818696, 5: 1.8413597733711047}","{0: 'Downtrend / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Uptrend / High-Vol', 3: 'Ranging / Low-Vol', 4: 'Ranging / Low-Vol', 5: 'Ranging / High-Vol'}",-479589.96526580595,-10.756032234363639,-13821.912926671015,-9.788890174696187,42,126577.5346341664,0.26392865531290377,5,0,0.6739707506735697,0.794366262924745,1.5721374359621345,3.274023087644912,22.978564262390137,0.006016254425048828,[],ok
26,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-04-30 20:00:00+00:00,2020-05-01 00:00:00+00:00,2020-06-01 00:00:00+00:00,2020,46000,1488,778,779,522.8494623655914,25.11365164761264,1.0464021519838602,30.0,57.30423620025674,30.0,480.0,43.64569961489089,17.84338896020539,5.905006418485238,1.540436456996149,0.0,56.35430038510911,6,4,4,36.626344086021504,"{0: 14.448924731182796, 1: 3.4274193548387095, 2: 36.626344086021504, 3: 1.9489247311827957, 4: 13.911290322580644, 5: 29.63709677419355}","{0: 'Uptrend / Mid-Vol', 1: 'Uptrend / High-Vol', 2: 'Ranging / Low-Vol', 3: 'Downtrend / High-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-496025.2613557474,-10.783157855559727,-15698.529360174558,-10.55008693560118,46,131845.00446034718,0.26580300386312067,5,0,0.6572226925338247,0.7614381368158445,1.6545747920380962,3.048065116251277,32.1244957447052,0.0,[],ok
27,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-05-31 20:00:00+00:00,2020-06-01 00:00:00+00:00,2020-07-01 00:00:00+00:00,2020,47488,1410,829,831,587.9432624113475,27.652536483669213,1.152189020152884,30.0,50.90252707581227,30.0,480.0,41.75691937424789,14.440433212996389,2.527075812274368,0.36101083032490977,0.0,58.24308062575211,6,4,4,47.5177304964539,"{0: 40.85106382978723, 1: 1.1347517730496455, 2: 47.5177304964539, 3: 3.6879432624113475, 4: 5.74468085106383, 5: 1.0638297872340425}","{0: 'Ranging / Low-Vol', 1: 'Downtrend / High-Vol', 2: 'Ranging / Low-Vol', 3: 'Uptrend / Mid-Vol', 4: 'Downtrend / High-Vol', 5: 'Uptrend / High-Vol'}",-513161.6481221543,-10.806133088825689,-5860.23762887565,-4.156196899911809,43,138374.62053854438,0.26965113438408267,5,0,0.6551448511891588,0.7531225443486959,1.4121321386791164,2.998168744017133,32.9627890586853,0.01363372802734375,[],ok
28,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-06-30 20:00:00+00:00,2020-07-01 00:00:00+00:00,2020-08-01 00:00:00+00:00,2020,48898,1488,879,880,590.7258064516129,28.37390719569603,1.1822461331540013,30.0,50.72727272727273,30.0,600.0,40.56818181818182,15.0,2.9545454545454546,0.3409090909090909,0.11363636363636363,59.43181818181819,5,4,4,46.90860215053764,"{0: 2.889784946236559, 1: 46.90860215053764, 2: 43.413978494623656, 4: 1.5456989247311828, 5: 5.241935483870968}","{0: 'Downtrend / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Ranging / Low-Vol', 3: 'Downtrend / High-Vol', 4: 'Uptrend / High-Vol', 5: 'Uptrend / Mid-Vol'}",-524083.8639569455,-10.717899790522015,-4464.865249099768,-3.0005814846100596,45,143140.2614585699,0.2731247254548733,5,0,0.6544121205618749,0.752677615320037,1.422642350054887,3.0110251186055335,28.00966787338257,0.008031368255615234,['missing_states(observed=5/6)'],ok
29,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-07-31 20:00:00+00:00,2020-08-01 00:00:00+00:00,2020-09-01 00:00:00+00:00,2020,50386,1488,853,854,573.252688172043,27.534633490248822,1.1472763954270342,30.0,52.27166276346604,30.0,330.0,42.62295081967213,16.978922716627633,3.278688524590164,0.234192037470726,0.0,57.377049180327866,6,4,4,44.623655913978496,"{0: 0.8736559139784945, 1: 44.623655913978496, 2: 0.739247311827957, 3: 6.384408602150538, 4: 6.384408602150538, 5: 40.99462365591398}","{0: 'Uptrend / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Downtrend / High-Vol', 3: 'Uptrend / Mid-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-534885.5378680066,-10.615757112452004,-6937.853416679565,-4.662535898306159,43,146397.18409335928,0.2736981535841891,5,0,0.6544477157253227,0.7534951015359015,1.4294337928399705,3.0232539350619447,34.96360754966736,0.0,[],ok
30,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-08-31 20:00:00+00:00,2020-09-01 00:00:00+00:00,2020-10-01 00:00:00+00:00,2020,51874,1440,783,784,543.75,26.118137595552465,1.0882557331480194,30.0,55.10204081632653,30.0,540.0,45.025510204081634,17.857142857142858,4.209183673469387,0.7653061224489796,0.12755102040816327,54.974489795918366,6,4,4,43.68055555555556,"{0: 7.152777777777778, 1: 43.68055555555556, 2: 0.625, 3: 1.597222222222222, 4: 8.958333333333334, 5: 37.98611111111111}","{0: 'Uptrend / Mid-Vol', 1: 'Ranging / Low-Vol', 2: 'Downtrend / High-Vol', 3: 'Uptrend / High-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-548191.7280562633,-10.567755099978088,-8113.682760314877,-5.634501916885331,44,152595.7244056071,0.2783619609633101,5,0,0.6546934589902805,0.753240759276314,1.418603155604595,3.0240231973214717,35.65854501724243,0.01593327522277832,[],ok
31,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-09-30 20:00:00+00:00,2020-10-01 00:00:00+00:00,2020-11-01 00:00:00+00:00,2020,53314,1488,856,857,575.2688172043012,27.63147276395427,1.1513113651647613,30.0,52.08868144690782,30.0,390.0,43.05717619603267,15.16919486581097,3.38389731621937,0.4667444574095682,0.0,56.94282380396732,6,4,4,45.36290322580645,"{0: 39.58333333333333, 1: 5.443548387096774, 2: 7.997311827956989, 3: 45.36290322580645, 4: 0.13440860215053765, 5: 1.478494623655914}","{0: 'Ranging / Low-Vol', 1: 'Downtrend / High-Vol', 2: 'Uptrend / Mid-Vol', 3: 'Ranging / Low-Vol', 4: 'Downtrend / High-Vol', 5: 'Uptrend / High-Vol'}",-562173.4576310369,-10.544574738924801,-6482.622878352612,-4.356601396742347,42,158107.1827236521,0.28124270290153097,5,0,0.654104821488361,0.7521052873319519,1.4287652574961243,3.045874252524969,33.78806710243225,0.00575709342956543,[],ok
32,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-10-31 20:00:00+00:00,2020-11-01 00:00:00+00:00,2020-12-01 00:00:00+00:00,2020,54802,1415,678,679,479.1519434628975,22.61570535093815,0.9423210562890897,30.0,62.51840942562592,30.0,450.0,44.03534609720177,23.416789396170838,6.9219440353460975,2.6509572901325478,0.0,55.96465390279823,6,4,4,32.93286219081272,"{0: 5.936395759717315, 1: 32.93286219081272, 2: 26.360424028268554, 3: 19.01060070671378, 4: 13.851590106007066, 5: 1.9081272084805656}","{0: 'Uptrend / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Ranging / Low-Vol', 3: 'Uptrend / Mid-Vol', 4: 'Downtrend / High-Vol', 5: 'Downtrend / High-Vol'}",-574723.2722054119,-10.487268205638697,-16527.90689115787,-11.680499569722876,45,163121.60323917563,0.2838263406547322,5,0,0.6548911396888134,0.7542149706410246,1.4272492950655367,3.0528085062025876,36.51353979110718,0.008161306381225586,[],ok
33,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-11-30 20:00:00+00:00,2020-12-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,2020,56217,1432,677,678,472.7653631284916,21.853396099529252,0.9105581708137189,30.0,63.36283185840708,30.0,720.0,47.1976401179941,23.303834808259587,7.374631268436578,1.7699115044247788,0.14749262536873156,52.8023598820059,6,4,4,31.49441340782123,"{0: 15.083798882681565, 1: 31.49441340782123, 2: 25.69832402234637, 3: 1.606145251396648, 4: 10.05586592178771, 5: 16.061452513966483}","{0: 'Downtrend / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Ranging / Low-Vol', 3: 'Downtrend / High-Vol', 4: 'Uptrend / High-Vol', 5: 'Uptrend / Mid-Vol'}",-594388.9940414258,-10.573118345721504,-16821.50299010158,-11.746859629959204,45,168384.91577197774,0.28329076995029656,5,0,0.654608642105988,0.7531355713077881,1.4245258204662297,3.0518150075575,37.91710543632507,0.006272077560424805,[],ok
34,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2020-12-31 20:00:00+00:00,2021-01-01 00:00:00+00:00,2021-02-01 00:00:00+00:00,2021,57649,1488,354,355,237.90322580645162,11.42703429724277,0.4761264290517821,60.0,125.74647887323944,30.0,1920.0,63.94366197183099,44.7887323943662,27.042253521126757,12.957746478873238,3.0985915492957745,36.056338028169016,6,4,4,38.44086021505376,"{0: 27.083333333333332, 1: 5.577956989247312, 2: 8.266129032258064, 3: 15.053763440860216, 4: 38.44086021505376, 5: 5.577956989247312}","{0: 'Downtrend / High-Vol', 1: 'Uptrend / Mid-Vol', 2: 'Ranging / Low-Vol', 3: 'Downtrend / High-Vol', 4: 'Uptrend / High-Vol', 5: 'Ranging / Low-Vol'}",-614554.1622616614,-10.660274458562357,-35383.21924889779,-23.77904519415174,46,173647.0371456165,0.28255774317200383,5,0,0.6537690105752336,0.7506169860218452,1.4332428835302409,3.0529098767393053,40.2725305557251,0.0,[],ok
35,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2021-01-31 20:00:00+00:00,2021-02-01 00:00:00+00:00,2021-03-01 00:00:00+00:00,2021,59137,1316,493,494,374.62006079027356,17.62025316455696,0.7341772151898734,60.0,79.91902834008097,30.0,1020.0,51.61943319838057,27.93522267206478,13.562753036437247,5.060728744939271,0.6072874493927125,48.38056680161944,6,4,4,23.32826747720365,"{0: 17.17325227963526, 1: 18.31306990881459, 2: 7.29483282674772, 3: 19.376899696048632, 4: 23.32826747720365, 5: 14.513677811550153}","{0: 'Uptrend / Mid-Vol', 1: 'Ranging / Low-Vol', 2: 'Downtrend / High-Vol', 3: 'Uptrend / High-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-637061.0948288529,-10.772631260105397,-23961.402989775874,-18.207753031744584,44,175751.67488628568,0.275878838486443,5,0,0.6544959640031353,0.7504130964410092,1.4325909283677443,3.0258060843008696,39.921340465545654,0.0,[],ok
36,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2021-02-28 20:00:00+00:00,2021-03-01 00:00:00+00:00,2021-04-01 00:00:00+00:00,2021,60453,1462,726,728,496.5800273597811,23.435104236718225,0.976462676529926,30.0,60.247252747252745,30.0,600.0,43.40659340659341,19.36813186813187,6.456043956043957,2.0604395604395602,0.4120879120879121,56.59340659340659,5,4,4,33.31053351573187,"{0: 17.373461012311903, 1: 33.31053351573187, 3: 29.616963064295486, 4: 19.08344733242134, 5: 0.615595075239398}","{0: 'Downtrend / High-Vol', 1: 'Ranging / Low-Vol', 2: 'Ranging / Low-Vol', 3: 'Ranging / Low-Vol', 4: 'Uptrend / High-Vol', 5: 'Ranging / High-Vol'}",-658439.6508203673,-10.891761381906063,-20115.831264161105,-13.759118511738102,44,178919.4869736199,0.2717325524832829,5,0,0.6709691636069098,0.7896010427202559,1.6221194850324,3.3108997509491673,36.53730821609497,0.0,['missing_states(observed=5/6)'],ok
37,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2021-03-31 20:00:00+00:00,2021-04-01 00:00:00+00:00,2021-05-01 00:00:00+00:00,2021,61915,1381,698,700,505.43084721216513,23.282835302293257,0.9701181375955524,30.0,59.18571428571428,30.0,480.0,45.285714285714285,21.0,6.2857142857142865,1.4285714285714286,0.0,54.714285714285715,6,4,4,35.98841419261405,"{0: 10.427226647356989, 1: 7.74800868935554, 2: 1.7378711078928313, 3: 29.54380883417813, 4: 14.554670528602461, 5: 35.98841419261405}","{0: 'Uptrend / Mid-Vol', 1: 'Uptrend / High-Vol', 2: 'Downtrend / High-Vol', 3: 'Ranging / Low-Vol', 4: 'Downtrend / High-Vol', 5: 'Ranging / Low-Vol'}",-682634.5161970028,-11.025349530759959,-14564.444867186963,-10.546303307159278,45,0.3329510522307828,4.877442384332875e-07,5,0,0.6525452480437807,0.7478984286836228,1.4537819431592656,3.0443265961261954,42.521639347076416,0.019730567932128906,[],ok
38,30m_hmm6,30m,6,2017-09-01 00:00:00+00:00,2021-04-30 20:00:00+00:00,2021-05-01 00:00:00+00:00,2021-06-01 00:00:00+00:00,2021,63296,1488,473,474,317.8763440860215,15.268325487558842,0.6361802286482852,60.0,94.17721518987342,30.0,1380.0,54.008438818565395,32.06751054852321,17.932489451476794,7.383966244725738,1.2658227848101267,45.9915611814346,6,4,4,26.411290322580644,"{0: 9.879032258064516, 1: 23.45430107526882, 2: 14.85215053763441, 3: 12.567204301075268, 4: 26.411290322580644, 5: 12.836021505376344}","{0: 'Uptrend / Mid-Vol', 1: 'Uptrend / High-Vol', 2: 'Ranging / Low-Vol', 3: 'Ranging / Low-Vol', 4: 'Downtrend / High-Vol', 5: 'Downtrend / High-Vol'}",-700854.2321398767,-11.07264648855973,-29934.08782351557,-20.116994505050787,44,199161.7718034722,0.28417003518033035,5,0,0.6512912489861967,0.7449682435917266,1.4626664037547363,3.0503961881934902,41.02264356613159,0.01565408706665039,[],ok
