fold,n,lr_logloss,rf_logloss,lr_brier,rf_brier,lr_auc,rf_auc
32,299,0.6830819354561705,0.7005778794147265,0.24499375782015126,0.2537085862414371,0.5811750272628136,0.4853462377317339
33,336,0.6737394454810219,0.6781754189402465,0.24033972101898604,0.2425700587308955,0.5234407000558555,0.5604729100726121
34,2351,0.694752916974949,0.7010036023064482,0.2507729870454564,0.25378845764458624,0.48944553448150574,0.47205689993459776
35,1051,0.6962310125004556,0.7145110042475943,0.25152108828625963,0.26055318972509506,0.4634496242128783,0.3993318533994951
36,292,0.6748791819349683,0.7045082978244348,0.24089969647915435,0.25564693432478003,0.5760009825595677,0.4844755588307541
37,294,0.6655846143964546,0.6692519800104529,0.23627904982903847,0.23808712347119904,0.6003779289493576,0.6324766943814564
38,1998,0.6815246403434505,0.6902907641378734,0.24420951977257657,0.2485098798122082,0.5811178001368349,0.4919514574360163
39,714,0.6910945532788085,0.6914213760698248,0.24897597549903927,0.2491448571468697,0.5291010085092972,0.5290379766782225
40,195,0.6875457868601602,0.6925454608103349,0.2472097660685866,0.24970361582379172,0.5476468094127624,0.5557027771888913
41,120,0.6429038703377526,0.7209608795910167,0.2249682864504535,0.2638797796747049,0.5053763440860215,0.5089605734767025
42,326,0.6807525845263731,0.6836052321103326,0.2438325332528572,0.24524088899386104,0.5592622571692877,0.5637334258402714
43,2538,0.6833779604296513,0.6918500179227913,0.24513327611400668,0.24934269408714238,0.5237188313068831,0.5061524317401824
44,165,0.7135813038462462,0.7213763953616017,0.26016119248938946,0.26389713391415254,0.4153225806451613,0.38186977299880526
45,2834,0.695662365477836,0.7045868943190378,0.25120930859473684,0.25551969160270943,0.48967115007405626,0.4721338217044954
46,2574,0.6958888302481532,0.7059754844481827,0.25134107378479664,0.2559648493139139,0.5024399489182055,0.49423785732581116
47,2300,0.6981417861066909,0.6986311978739781,0.2524664327203797,0.2527079598663463,0.48113436016661826,0.4908267642642642
48,2056,0.6937314240908339,0.7008738928716238,0.2502801337405264,0.25378341538873384,0.4820626163601547,0.48663157704857957
49,1635,0.7017958329010261,0.6889814136199245,0.2542965292989615,0.2479316355918554,0.5017004307957598,0.567391545146737
50,2290,0.6907099352835825,0.7215233120059368,0.24878177716280317,0.26344891084303423,0.5394775489294608,0.5356952504238981
51,2340,0.7031233386827251,0.6865393352888961,0.2549578998330105,0.24669917522266965,0.4584096146647326,0.5830257709044967
52,2850,0.6908178113825166,0.7277367589479192,0.24883535159099637,0.2664519579272708,0.49072273938539634,0.5042419313965781
53,1657,0.6996576296958013,0.6891591374919387,0.2532433352860929,0.24802126948629055,0.5074951961347474,0.540575530757859
54,2084,0.68975445382939,0.69871923089002,0.24830506961623225,0.25276278483330045,0.48923590152975455,0.4704354687220398
55,706,0.6929680781904651,0.692920987753385,0.24990696908332433,0.24988327748982578,0.46148770969948105,0.5292633865711871
56,1028,0.6872092208458871,0.6952782088107802,0.24703600658051733,0.2510563229996704,0.5063105753895227,0.4627844742976322
57,226,0.6942944166743182,0.6881326661605736,0.2505692944188314,0.2475056019162482,0.4422248335291813,0.5587152369761066
58,724,0.6881959971615053,0.7057087355301439,0.24752738449576014,0.25617020202827534,0.4709356639361349,0.45406221288883053
59,931,0.6942855990684227,0.698201259733945,0.2505663641886265,0.25242030736423676,0.5628110314008994,0.49578982356036894
60,1608,0.6976089542097164,0.6970105354875894,0.25222115966943665,0.2519447456524114,0.45969489810599207,0.44878072174342176
61,717,0.701304131771695,0.6937251256260226,0.25406567124452795,0.2502745006292865,0.4696257669669482,0.4961124728731793
62,649,0.6987866229877764,0.6910445617315173,0.2528126264868008,0.24896203319607463,0.5496461994978316,0.5165915316137868
63,820,0.6992227590734648,0.6839613532505766,0.2530254315016332,0.24541922906255928,0.3841439833407705,0.5932321880113044
64,330,0.7021932880088176,0.7142435859877643,0.2545131494771322,0.26044228370694233,0.5529246365015353,0.4164970957120131
65,417,0.7114523154525456,0.7146450035710303,0.259134282271373,0.26070441701128727,0.572218733394522,0.3634848558040674
66,316,0.6908759952891103,0.6902873891451056,0.24886571236073018,0.2485724597782733,0.51994851994852,0.5433759652509652
69,1212,0.6998200287480518,0.6949798734125608,0.25332733501117727,0.2509147784661558,0.45599694318972694,0.48178877986872093
74,1408,0.6939379614680148,0.6923575411463236,0.2503930468548287,0.2496042943742876,0.4875459206329983,0.5217350934560575
76,1778,0.6947029976139664,0.6886708919051278,0.25077409558871555,0.2477649012151719,0.44357121875126615,0.568803558405251
77,1798,0.6962084289412968,0.6933224619084054,0.2515262629133914,0.2500919914507182,0.47770477604553324,0.5212076218757733
78,1341,0.69496969405425,0.6858493497840559,0.2509078223566899,0.24636532056648658,0.4476806784004556,0.5911033350536563
79,1086,0.6920145777284421,0.6963435855025414,0.24943326290066012,0.251582147317072,0.4849891200870393,0.517623759009928
80,2007,0.6957393457694645,0.69542943642755,0.25129183634634106,0.2511407813500721,0.43518663809113317,0.4811797736070917
81,1770,0.687356358167335,0.7049452858236903,0.2471090143619041,0.2558717122367613,0.5668758373610643,0.45799532046784985
82,1604,0.6963110858797399,0.6969329886736726,0.25157847009435075,0.2518842320375203,0.49782757440985287,0.49327278947532116
83,1496,0.6952519822777485,0.6930644906811746,0.2510508332334606,0.24996083069008146,0.546539669600256,0.5114688862550345
84,1819,0.6934956604350864,0.6925685058148937,0.25017351008882466,0.24971371316787308,0.5194279964394907,0.5158312047679864
85,1386,0.6924218493062887,0.6932167722635129,0.24963726688675822,0.2500617356489003,0.49101987584120194,0.4800552976159424
86,1008,0.689794427579068,0.6938159158136342,0.2483244936287338,0.2504120916166496,0.4431318735954498,0.4358093192530279
87,658,0.6919241273699421,0.6948971438204606,0.24938849613742892,0.2508738607585799,0.4883085613742649,0.48246515719775895
88,660,0.6897711518537418,0.6926140691221645,0.24831406156255462,0.24973451670815663,0.5195754869604607,0.5226031006461991
89,541,0.6925611132095972,0.6912420453321637,0.24970843916737967,0.24904759619353864,0.6004045705538243,0.5651413263353562
90,366,0.6843498114643124,0.6878032817132271,0.24560880600867566,0.24734549243022982,0.5932709596806143,0.5117026788163228
91,1332,0.6963336961830118,0.6961188143976862,0.25159039779050446,0.2514827089342138,0.4999413637880797,0.46806468927318157
92,1836,0.6951538214224485,0.6929560780835641,0.25100183555812716,0.24990301644373344,0.5152658303854638,0.5111077620834961
93,1002,0.6991806533647963,0.6897944188475155,0.25301158460673134,0.24833711735020797,0.4508278675411934,0.5256618940969445
94,945,0.697311176723488,0.6928340740311887,0.2520794839039787,0.2498727674297526,0.5091979396615158,0.49497478418492785
95,1950,0.6936381259450604,0.6955479079817722,0.2502453119977214,0.2511984009962629,0.5324508912790992,0.47117913531619793
96,2015,0.6901231986193409,0.6969855073148924,0.24848961722060384,0.2519124118297488,0.52390982275137,0.5093567721193875
97,970,0.693381051631563,0.6931325695582459,0.25011634101159785,0.24999255744009247,0.48847589020929333,0.552987078190351
98,557,0.6927573784331813,0.6902593826179874,0.2498068474515943,0.2485675333825809,0.6091542031975244,0.5259541000515731
99,1670,0.6936356941560411,0.6974855713548123,0.2502443596942007,0.25216738995265864,0.536013482018,0.4365871849116139
100,629,0.6926138007056248,0.6908748377415692,0.2497324787182956,0.24887012444424467,0.456010868022466,0.6090046432409417
