state,horizon,n,mean_ret,median_ret,std_ret,p_positive,p_gt_0.5pct,p_lt_-0.5pct,config,n_states_model,regime
3,30m,191847,-4.365067767389265e-05,0.00018649926089864266,0.0034851185094805924,0.5311732787064692,0.03890600322131699,0.0564668720386558,B,6,Ranging / Low-Vol
3,1h,191792,-2.704702400565436e-05,0.0003303107991392551,0.005103357617313028,0.5403145073829982,0.0917921498289814,0.10409714690915157,B,6,Ranging / Low-Vol
3,2h,191725,-8.44693228383917e-06,0.0004979855868452177,0.007513933110632969,0.5454270439431478,0.16340591993741035,0.1604016168992046,B,6,Ranging / Low-Vol
3,4h,191594,-2.6967637874455775e-05,0.0006295802322604516,0.010825362978527608,0.5403718279278057,0.2400649289643726,0.22363957117655042,B,6,Ranging / Low-Vol
4,5m,66199,3.244739864855463e-05,0.0,0.006257105509245875,0.4995392679647729,0.13995679693046723,0.13581776159760722,B,6,Ranging / High-Vol
4,15m,66160,0.00010973219502682886,0.00011809417171715353,0.010014910730918824,0.5082980652962515,0.23586759371221283,0.2237756952841596,B,6,Ranging / High-Vol
4,30m,66106,0.00021024968057723113,0.00027001894112643754,0.013474444770188068,0.5140683145251566,0.29442108129367983,0.26971833116509847,B,6,Ranging / High-Vol
4,1h,65997,0.0004161718509249937,0.0006098731175878669,0.017818548784278035,0.523993514856736,0.3437277452005394,0.3035441004894162,B,6,Ranging / High-Vol
4,2h,65801,0.000678140152058685,0.000912301266181359,0.02312082446599306,0.5254479415206456,0.384811780975973,0.3372593121685081,B,6,Ranging / High-Vol
4,4h,65386,0.0008928831565492018,0.0013218829887104988,0.030039246581396506,0.5289358578288931,0.4194781757562781,0.36617930443825897,B,6,Ranging / High-Vol
5,5m,132630,-8.334349509781584e-05,4.190038240814431e-06,0.0025916989454868827,0.5019151021639147,0.01954308979868808,0.030709492573324285,B,6,Downtrend / High-Vol
5,15m,132579,-0.00013255458355801455,0.0001421839608415354,0.004472933006080724,0.5183626366166587,0.07830048499385273,0.09798686066420775,B,6,Downtrend / High-Vol
5,30m,132499,-0.00013890603943948908,0.0003376438166124984,0.0063895914989527385,0.5311587257262319,0.14219729960226116,0.15015207661944618,B,6,Downtrend / High-Vol
5,1h,132334,-0.00014028748140776712,0.0006083548420185991,0.009034079999634709,0.542551422914746,0.21821300648359454,0.20281258028926807,B,6,Downtrend / High-Vol
5,2h,132084,-7.395053314727674e-05,0.0009907924540550894,0.012592993499516349,0.5524590412161957,0.2938508827715696,0.24714575573120134,B,6,Downtrend / High-Vol
5,4h,131642,-1.8262319557457524e-05,0.001384990339047043,0.01741887634678153,0.5558864192279059,0.35604138496832316,0.28870725148508836,B,6,Downtrend / High-Vol
