fold,config,pool_train_rows,n_eligible,fit_time_s,train_auc,oos_fold_auc
64,RF-7,64255,330.0,8.358689546585083,0.6379131304156909,0.4016056827851567
65,RF-7,64585,417.0,8.565244674682617,0.6367525588688864,0.4083860683058789
66,RF-7,65002,316.0,9.360962390899658,0.6362752142059069,0.48869851994852
67,RF-7,65318,0.0,9.871011734008789,0.6352084682861915,
68,RF-7,65318,0.0,9.623821020126343,0.6352084682861915,
69,RF-7,65318,1212.0,8.43686580657959,0.6352084682861915,0.47265655917793636
70,RF-7,66530,0.0,8.618228435516357,0.6368647718467779,
71,RF-7,66530,0.0,8.507006645202637,0.6368647718467779,
72,RF-7,66530,0.0,8.90509295463562,0.6368647718467779,
73,RF-7,66530,0.0,8.409613847732544,0.6368647718467779,
74,RF-7,66530,1408.0,8.69835376739502,0.6368647718467779,0.49747083282871096
75,RF-7,67938,0.0,8.905986785888672,0.6359066027469372,
76,RF-7,67938,1778.0,8.986783981323242,0.6359066027469372,0.578057260645841
77,RF-7,69716,1798.0,9.01490569114685,0.6368650744394665,0.5211333828260332
78,RF-7,71514,1341.0,9.47813105583191,0.6331485247208429,0.5422176149205389
79,RF-7,72855,1086.0,10.173408031463623,0.634398960995881,0.4906568747450021
80,RF-7,73941,2007.0,9.63648509979248,0.6327384324301036,0.5276406712734452
81,RF-7,75948,1770.0,10.159842491149902,0.6299103329501154,0.44533203102289504
82,RF-7,77718,1604.0,10.421148300170898,0.6301827368614724,0.49563182284701274
83,RF-7,79322,1496.0,10.817402362823486,0.628236201915536,0.42078683120509563
84,RF-7,80818,1819.0,11.762001514434814,0.627986497098693,0.48860008127249505
85,RF-7,82637,1386.0,11.988385677337646,0.6263178512499596,0.4537576295059732
86,RF-7,84023,1008.0,11.823649406433105,0.6258277353999051,0.4509436588906788
87,RF-7,85031,658.0,12.840742111206055,0.6255936593319695,0.528999398064546
88,RF-7,85689,660.0,11.48186206817627,0.6255745833931596,0.4867940575570162
89,RF-7,86349,541.0,11.611245393753052,0.6254899721351903,0.5078727242906347
90,RF-7,86890,366.0,16.35742998123169,0.6257210863022167,0.4880687532380459
91,RF-7,87256,1332.0,12.85464072227478,0.6252886662788193,0.4525993883792049
92,RF-7,88588,1836.0,13.307962894439697,0.6263684049880109,0.451867155413736
93,RF-7,90424,1002.0,12.891574621200562,0.625307052256596,0.5508838585826268
94,RF-7,91426,945.0,14.357760190963745,0.6255820070180286,0.5407446293005975
95,RF-7,92371,1950.0,19.54640555381775,0.6234312946567387,0.4937804036425457
96,RF-7,94321,2015.0,15.088952541351318,0.6232518148321349,0.5404873395252346
97,RF-7,96336,970.0,14.726391553878784,0.6231515859229021,0.5488301443651635
98,RF-7,97306,557.0,14.992946147918701,0.6207365084065519,0.5098246518824137
99,RF-7,97863,1670.0,17.29139733314514,0.6213736943002022,0.4690809996772921
100,RF-7,99533,629.0,14.988354444503784,0.6223487646799862,0.5793203430726496
